TimePeriodID,PopulationGroupTypeID,TripPurposeID,TripGenerationRatePerHour
AM-Peak,low-income-senior,work,0.5
Midday,low-income-senior,work,0.15
PM-Peak,low-income-senior,work,0.4
Evening,low-income-senior,work,0.15
Overnight,low-income-senior,work,0
AM-Peak,low-income-senior,nonwork,0.15
Midday,low-income-senior,nonwork,0.3
PM-Peak,low-income-senior,nonwork,0.35
Evening,low-income-senior,nonwork,0.35
Overnight,low-income-senior,nonwork,0.15
AM-Peak,high-income,work,0.55
Midday,high-income,work,0.15
PM-Peak,high-income,work,0.55
Evening,high-income,work,0.15
Overnight,high-income,work,0
AM-Peak,high-income,nonwork,0.15
Midday,high-income,nonwork,0.35
PM-Peak,high-income,nonwork,0.35
Evening,high-income,nonwork,0.55
Overnight,high-income,nonwork,0.15
