FromMicrotypeID,ToMicrotypeID,DistanceBinID,ThroughMicrotypeID,Allocation
A,A,short,A,1
A,A,short,B,0
A,A,short,C,0
A,A,short,D,0
A,B,short,A,0.5
A,B,short,B,0.5
A,B,short,C,0
A,B,short,D,0
A,C,short,A,0.5
A,C,short,B,0
A,C,short,C,0.5
A,C,short,D,0
A,D,short,A,0.5
A,D,short,B,0
A,D,short,C,0
A,D,short,D,0.5
A,A,medium,A,0.8
A,A,medium,B,0.1
A,A,medium,C,0.1
A,A,medium,D,0
A,B,medium,A,0.4
A,B,medium,B,0.4
A,B,medium,C,0.2
A,B,medium,D,0
A,C,medium,A,0.4
A,C,medium,B,0
A,C,medium,C,0.5
A,C,medium,D,0.1
A,D,medium,A,0.3
A,D,medium,B,0.1
A,D,medium,C,0.1
A,D,medium,D,0.5
A,A,long,A,0.6
A,A,long,B,0.1
A,A,long,C,0.2
A,A,long,D,0.1
A,B,long,A,0.5
A,B,long,B,0.5
A,B,long,C,0
A,B,long,D,0
A,C,long,A,0.5
A,C,long,B,0
A,C,long,C,0.5
A,C,long,D,0
A,D,long,A,0.5
A,D,long,B,0
A,D,long,C,0
A,D,long,D,0.5
